minTemp,maxTemp,minHumid,maxHumid,currentTemp,currentHumid,currentMonth,goalTemp,goalHumid,userDecision
18,27,40,50,50.4,68.8,5,22,45,1
20,26,30,45,17.3,33.0,10,23,37,1
19,26,30,40,26.0,32.8,8,0,0,0
20,26,30,45,15.4,48.0,10,23,37,1
20,25,30,50,9.3,33.1,12,22,40,1
19,26,30,40,20.5,32.3,8,0,0,0
20,26,25,40,13.8,47.3,9,23,32,1
20,26,30,45,6.1,21.9,10,23,37,1
20,26,30,45,22.8,38.3,10,0,0,0
23,26,30,50,1.8,54.0,2,24,40,1
23,26,30,50,24.1,54.5,2,24,40,1
19,26,30,50,24.3,46.6,4,0,0,1
20,26,25,50,3.6,51.7,11,23,37,1
18,27,40,50,20.4,30.8,5,22,45,1
20,26,30,50,22.4,48.8,3,0,0,0
20,25,35,50,48.1,55.3,6,22,42,1
20,26,30,50,21.6,33.5,3,23,40,1
23,26,30,50,24.5,40.5,2,0,0,0
20,26,30,50,15.6,31.5,3,23,40,1
20,26,25,45,23.3,52.3,7,23,35,1
20,26,30,50,22.2,49.1,3,0,0,0
20,26,25,45,35.6,58.4,7,23,35,1
20,26,30,50,16.3,25.3,3,23,40,1
19,26,30,40,22.1,33.6,8,0,0,1
18,27,40,50,47.2,56.4,5,22,45,1
20,25,30,50,7.1,20.2,12,22,40,1
20,26,30,45,21.7,36.2,10,0,0,0
19,26,30,50,26.1,64.0,4,22,40,1
19,26,30,50,21.1,69.5,4,22,40,1
18,27,40,50,20.1,48.6,5,0,0,0
20,25,30,50,-4.1,39.3,12,22,40,1
24,27,30,50,24.8,50.6,1,25,40,1
20,26,30,50,24.4,32.6,3,0,0,0
23,26,30,50,12.3,41.2,2,24,40,1
23,26,30,50,8.2,27.2,2,24,40,1
20,25,30,50,24.5,39.7,12,0,0,0
20,26,25,50,10.0,59.2,11,23,37,1
20,26,25,50,11.9,57.7,11,23,37,1
20,26,25,45,23.6,37.3,7,0,0,0
20,26,25,45,29.4,74.4,7,23,35,1
20,26,25,50,21.2,19.9,11,23,37,1
20,26,30,50,23.1,45.3,3,0,0,1
20,25,30,50,-10.7,53.2,12,22,40,1
20,26,25,40,16.2,41.4,9,23,32,1
23,26,30,50,23.6,31.8,2,0,0,0
20,25,30,50,-1.3,54.2,12,22,40,1
20,26,30,50,12.4,34.6,3,23,40,1
18,27,40,50,20.5,44.4,5,0,0,1
19,26,30,40,35.4,59.2,8,22,35,1
20,26,30,50,9.4,23.4,3,23,40,1
20,26,25,45,21.5,28.1,7,0,0,0
19,26,30,40,35.0,34.4,8,22,35,1
23,26,30,50,20.6,29.4,2,24,40,1
19,26,30,40,22.5,37.3,8,0,0,1
23,26,30,50,0.2,52.5,2,24,40,1
18,27,40,50,17.4,61.6,5,22,45,1
20,26,30,45,25.6,31.2,10,0,0,0
24,27,30,50,15.5,51.0,1,25,40,1
19,26,30,40,30.0,51.9,8,22,35,1
20,26,25,45,21.6,43.1,7,0,0,1
20,25,30,50,4.5,33.6,12,22,40,1
20,26,25,45,27.5,7.8,7,23,35,1
20,26,25,50,21.2,44.0,11,0,0,0
20,26,25,40,8.9,42.5,9,23,32,1
20,26,30,45,21.9,33.9,10,23,37,1
23,26,30,50,23.6,35.7,2,0,0,1
24,27,30,50,20.1,58.6,1,25,40,1
20,26,25,45,25.4,53.4,7,23,35,1
20,25,30,50,20.2,45.5,12,0,0,0
20,25,30,50,1.3,54.4,12,22,40,1
19,26,30,40,33.1,26.7,8,22,35,1
20,26,25,45,25.8,28.3,7,0,0,0
23,26,30,50,8.4,54.0,2,24,40,1
20,26,25,40,21.8,27.1,9,23,32,1
20,26,30,50,25.8,30.3,3,0,0,1
19,26,30,40,30.7,47.6,8,22,35,1
20,26,30,45,15.6,44.9,10,23,37,1
19,26,30,40,25.2,30.5,8,0,0,1
24,27,30,50,-4.3,55.7,1,25,40,1
20,26,25,45,16.9,45.5,7,23,35,1
19,26,30,50,20.1,45.1,4,0,0,0
23,26,30,50,18.9,30.2,2,24,40,1
20,25,30,50,19.8,21.2,12,22,40,1
20,26,30,50,22.1,43.0,3,0,0,1
18,27,40,50,50.0,37.0,5,22,45,1
20,26,25,40,18.7,44.6,9,23,32,1
19,26,30,50,20.1,41.6,4,0,0,1
18,27,40,50,37.0,60.0,5,22,45,1
23,26,30,50,24.1,20.6,2,24,40,1
20,26,30,45,24.2,38.6,10,0,0,0
24,27,30,50,-3.5,57.0,1,25,40,1
20,26,30,45,8.1,27.0,10,23,37,1
20,25,30,50,20.9,41.5,12,0,0,0
20,26,30,50,-11.5,51.3,3,23,40,1
20,25,30,50,9.7,53.3,12,22,40,1
24,27,30,50,26.5,32.2,1,0,0,0
23,26,30,50,-10.8,50.2,2,24,40,1
20,26,25,45,18.7,24.4,7,23,35,1
24,27,30,50,26.6,37.0,1,0,0,0
20,26,30,50,9.2,56.4,3,23,40,1
18,27,40,50,29.8,64.4,5,22,45,1
20,26,25,50,23.6,40.5,11,0,0,0
20,26,25,40,-1.4,42.7,9,23,32,1
20,25,35,50,33.4,8.5,6,22,42,1
20,26,30,45,24.6,44.3,10,0,0,1
19,26,30,40,34.1,40.4,8,22,35,1
20,26,30,50,12.1,45.0,3,23,40,1
20,26,25,40,21.3,31.5,9,0,0,0
20,26,25,50,-6.8,59.8,11,23,37,1
20,26,25,50,21.2,56.4,11,23,37,1
19,26,30,50,25.5,48.2,4,0,0,1
20,25,30,50,-3.4,52.1,12,22,40,1
20,25,30,50,24.4,57.2,12,22,40,1
20,25,30,50,21.2,48.9,12,0,0,1
18,27,40,50,51.6,44.6,5,22,45,1
19,26,30,50,16.2,65.4,4,22,40,1
24,27,30,50,25.3,40.1,1,0,0,0
19,26,30,50,30.3,54.3,4,22,40,1
20,26,30,45,15.8,29.3,10,23,37,1
20,26,30,50,24.3,40.6,3,0,0,0
20,26,25,50,8.6,55.4,11,23,37,1
20,26,30,50,23.0,52.9,3,23,40,1
20,26,25,40,25.4,39.6,9,0,0,1
20,25,35,50,39.4,72.6,6,22,42,1
19,26,30,40,19.7,58.2,8,22,35,1
23,26,30,50,25.7,45.4,2,0,0,1
20,26,25,45,40.9,20.0,7,23,35,1
20,26,25,45,17.9,0.6,7,23,35,1
20,26,30,50,24.8,34.9,3,0,0,1
20,25,35,50,49.9,45.8,6,22,42,1
20,26,30,50,21.2,57.7,3,23,40,1
24,27,30,50,25.4,49.4,1,0,0,0
20,26,25,50,7.8,51.2,11,23,37,1
20,26,30,50,7.9,26.2,3,23,40,1
20,25,30,50,23.7,34.2,12,0,0,0
20,25,30,50,-6.9,52.9,12,22,40,1
20,26,25,50,18.6,50.3,11,23,37,1
20,26,30,45,23.2,33.1,10,0,0,0
19,26,30,50,29.0,60.3,4,22,40,1
20,26,25,40,17.6,18.2,9,23,32,1
20,26,30,45,25.4,42.2,10,0,0,0
20,26,30,50,-12.8,29.2,3,23,40,1
20,26,25,40,21.1,17.7,9,23,32,1
20,26,30,50,25.5,44.1,3,0,0,1
20,26,30,45,4.9,23.0,10,23,37,1
20,26,25,45,17.3,51.2,7,23,35,1
19,26,30,40,23.9,34.4,8,0,0,1
18,27,40,50,43.0,77.6,5,22,45,1
20,25,35,50,29.6,65.8,6,22,42,1
20,26,25,45,24.4,41.5,7,0,0,0
18,27,40,50,45.7,61.0,5,22,45,1
20,25,30,50,12.9,30.0,12,22,40,1
19,26,30,40,25.1,33.2,8,0,0,0
20,26,25,45,40.6,42.0,7,23,35,1
19,26,30,50,18.7,2.6,4,22,40,1
20,26,25,50,22.8,28.2,11,0,0,1
20,25,30,50,11.9,20.2,12,22,40,1
18,27,40,50,21.9,18.8,5,22,45,1
20,26,25,45,23.9,36.8,7,0,0,0
18,27,40,50,42.2,60.9,5,22,45,1
20,26,30,45,18.8,25.0,10,23,37,1
20,25,30,50,23.4,49.6,12,0,0,0
20,26,25,45,36.4,27.6,7,23,35,1
20,25,35,50,26.7,33.6,6,22,42,1
19,26,30,50,24.4,38.1,4,0,0,0
20,26,25,50,7.7,55.7,11,23,37,1
20,26,25,50,13.1,23.1,11,23,37,1
18,27,40,50,24.9,41.3,5,0,0,0
20,26,25,45,39.9,47.2,7,23,35,1
23,26,30,50,25.4,21.6,2,24,40,1
19,26,30,50,23.7,38.4,4,0,0,0
24,27,30,50,16.2,58.4,1,25,40,1
20,26,30,50,10.1,45.0,3,23,40,1
18,27,40,50,26.5,43.3,5,0,0,1
19,26,30,50,31.5,70.4,4,22,40,1
20,26,30,50,12.2,26.3,3,23,40,1
20,26,25,50,22.8,26.0,11,0,0,0
24,27,30,50,5.2,59.1,1,25,40,1
20,26,25,40,12.8,42.9,9,23,32,1
20,26,25,50,22.9,25.2,11,0,0,1
20,25,35,50,43.8,76.8,6,22,42,1
20,26,25,45,19.5,58.0,7,23,35,1
24,27,30,50,26.4,34.3,1,0,0,0
20,25,30,50,17.0,34.0,12,22,40,1
20,26,25,50,8.1,55.5,11,23,37,1
20,26,25,50,21.1,27.8,11,0,0,1
20,26,25,45,50.6,56.2,7,23,35,1
19,26,30,40,29.8,27.4,8,22,35,1
20,25,30,50,23.2,35.6,12,0,0,0
23,26,30,50,8.2,51.4,2,24,40,1
20,26,30,50,9.5,32.2,3,23,40,1
20,26,25,40,23.7,30.9,9,0,0,1
20,26,25,45,34.1,53.5,7,23,35,1
20,25,30,50,9.2,20.8,12,22,40,1
20,26,25,50,25.1,43.3,11,0,0,0
24,27,30,50,13.4,52.9,1,25,40,1
18,27,40,50,24.0,12.9,5,22,45,1
24,27,30,50,25.2,38.7,1,0,0,1
19,26,30,40,47.3,25.2,8,22,35,1
20,26,25,50,23.9,24.0,11,23,37,1
24,27,30,50,25.1,49.4,1,0,0,0
20,26,25,40,4.2,45.3,9,23,32,1
20,25,30,50,24.0,53.2,12,22,40,1
18,27,40,50,21.7,41.3,5,0,0,0
20,25,30,50,-7.2,51.1,12,22,40,1
20,26,30,45,6.4,54.5,10,23,37,1
23,26,30,50,24.5,30.1,2,0,0,1
19,26,30,50,43.1,73.3,4,22,40,1
20,25,35,50,29.8,59.6,6,22,42,1
24,27,30,50,24.9,34.7,1,0,0,1
20,26,25,45,35.3,49.8,7,23,35,1
20,26,25,40,21.2,36.6,9,23,32,1
20,26,30,50,24.4,44.7,3,0,0,0
19,26,30,50,31.7,76.9,4,22,40,1
20,25,30,50,11.9,34.5,12,22,40,1
20,25,30,50,23.7,44.7,12,0,0,0
20,26,25,40,-4.9,42.1,9,23,32,1
20,26,30,50,13.6,28.3,3,23,40,1
20,26,25,45,21.2,32.0,7,0,0,0
20,26,25,45,31.3,72.4,7,23,35,1
24,27,30,50,13.9,48.9,1,25,40,1
20,26,25,50,20.6,39.7,11,0,0,0
20,26,30,45,-13.3,46.3,10,23,37,1
20,26,25,40,14.3,45.8,9,23,32,1
20,25,35,50,23.8,40.7,6,0,0,1
23,26,30,50,1.0,41.2,2,24,40,1
19,26,30,40,17.0,12.7,8,22,35,1
20,26,25,45,20.3,44.3,7,0,0,0
20,25,30,50,-12.9,56.2,12,22,40,1
18,27,40,50,17.7,58.6,5,22,45,1
20,26,25,45,23.4,31.5,7,0,0,1
20,26,30,50,11.1,56.0,3,23,40,1
18,27,40,50,32.7,62.2,5,22,45,1
20,26,30,45,22.4,40.2,10,0,0,0
24,27,30,50,-4.8,64.7,1,25,40,1
24,27,30,50,24.1,27.3,1,25,40,1
18,27,40,50,24.9,45.8,5,0,0,0
19,26,30,40,52.0,35.2,8,22,35,1
18,27,40,50,31.5,26.2,5,22,45,1
20,26,30,45,23.8,31.1,10,0,0,0
20,26,25,45,51.7,51.9,7,23,35,1
20,26,25,40,24.5,26.4,9,23,32,1
20,26,30,45,23.4,39.7,10,0,0,0
20,25,30,50,-3.3,23.5,12,22,40,1
20,26,30,50,14.4,33.7,3,23,40,1
23,26,30,50,23.2,33.1,2,0,0,0
20,26,25,40,4.4,49.9,9,23,32,1
20,25,30,50,12.1,54.9,12,22,40,1
24,27,30,50,27.0,36.6,1,0,0,1
19,26,30,40,29.4,59.2,8,22,35,1
20,25,35,50,30.5,6.3,6,22,42,1
20,26,25,50,24.4,44.0,11,0,0,0
20,26,25,40,1.3,47.0,9,23,32,1
20,26,25,45,34.3,3.7,7,23,35,1
20,26,30,45,25.8,34.9,10,0,0,1
24,27,30,50,16.6,24.6,1,25,40,1
23,26,30,50,19.5,20.1,2,24,40,1
19,26,30,50,22.0,34.3,4,0,0,1
24,27,30,50,1.6,50.5,1,25,40,1
20,26,30,50,12.5,23.7,3,23,40,1
23,26,30,50,23.1,36.5,2,0,0,0
20,25,35,50,47.1,53.6,6,22,42,1
20,26,25,40,6.8,15.9,9,23,32,1
20,26,30,45,22.7,35.6,10,0,0,0
20,25,35,50,48.1,43.2,6,22,42,1
20,26,30,50,22.9,23.8,3,23,40,1
24,27,30,50,25.0,40.6,1,0,0,0
23,26,30,50,19.7,53.4,2,24,40,1
20,25,35,50,23.2,57.6,6,22,42,1
24,27,30,50,24.3,42.9,1,0,0,1
24,27,30,50,1.1,48.7,1,25,40,1
18,27,40,50,21.3,64.4,5,22,45,1
20,26,25,50,20.4,47.5,11,0,0,0
23,26,30,50,9.1,53.8,2,24,40,1
20,26,25,45,27.8,6.7,7,23,35,1
20,26,25,40,24.3,31.4,9,0,0,0
20,26,30,50,-2.6,58.5,3,23,40,1
20,26,30,50,20.7,33.6,3,23,40,1
23,26,30,50,23.9,40.3,2,0,0,1
20,26,25,45,46.1,50.2,7,23,35,1
20,26,25,45,26.0,3.7,7,23,35,1
18,27,40,50,24.3,48.6,5,0,0,1
20,26,30,45,16.5,45.7,10,23,37,1
24,27,30,50,16.2,22.9,1,25,40,1
20,26,25,45,24.5,42.6,7,0,0,1
19,26,30,40,50.7,46.9,8,22,35,1
20,26,30,50,23.7,52.5,3,23,40,1
20,26,30,50,20.0,49.3,3,0,0,0
20,26,25,45,37.5,52.1,7,23,35,1
20,26,25,50,17.6,16.1,11,23,37,1
18,27,40,50,26.4,44.7,5,0,0,1
20,26,30,45,-3.1,53.3,10,23,37,1
23,26,30,50,25.6,57.4,2,24,40,1
20,25,30,50,22.7,31.0,12,0,0,0
19,26,30,40,45.2,44.2,8,22,35,1
20,26,25,40,8.0,36.4,9,23,32,1
23,26,30,50,23.2,45.1,2,0,0,0
20,25,35,50,31.3,67.5,6,22,42,1
20,26,25,50,10.2,59.8,11,23,37,1
23,26,30,50,23.4,49.0,2,0,0,0
20,26,25,45,25.1,37.9,7,23,35,1
19,26,30,50,34.0,63.4,4,22,40,1
20,25,30,50,20.1,32.0,12,0,0,0
20,26,30,45,-7.6,46.5,10,23,37,1
20,25,30,50,10.7,32.6,12,22,40,1
20,26,25,45,24.7,36.1,7,0,0,0
20,26,25,45,26.5,33.3,7,23,35,1
20,26,25,40,13.5,49.5,9,23,32,1
18,27,40,50,24.6,44.3,5,0,0,0
20,25,35,50,50.0,61.7,6,22,42,1
20,25,30,50,5.2,24.0,12,22,40,1
18,27,40,50,22.1,42.2,5,0,0,1
23,26,30,50,15.9,56.5,2,24,40,1
20,26,30,45,6.9,51.4,10,23,37,1
19,26,30,50,19.1,42.2,4,0,0,0
20,26,25,40,-3.7,41.6,9,23,32,1
20,26,30,50,14.8,59.6,3,23,40,1
23,26,30,50,23.1,49.2,2,0,0,0
20,26,25,40,7.5,49.6,9,23,32,1
20,25,30,50,16.6,25.5,12,22,40,1
20,26,30,50,22.6,35.6,3,0,0,1
24,27,30,50,14.2,57.8,1,25,40,1
20,25,35,50,34.7,15.2,6,22,42,1
20,26,30,45,24.2,33.9,10,0,0,0
20,26,30,50,7.5,58.0,3,23,40,1
20,25,35,50,32.3,54.6,6,22,42,1
20,26,30,45,25.7,36.9,10,0,0,0
18,27,40,50,35.2,51.3,5,22,45,1
19,26,30,40,25.5,14.7,8,22,35,1
24,27,30,50,24.7,39.1,1,0,0,0
18,27,40,50,29.0,73.2,5,22,45,1
18,27,40,50,36.4,67.9,5,22,45,1
18,27,40,50,26.6,40.4,5,0,0,0
20,26,25,40,-1.5,45.0,9,23,32,1
20,26,25,45,17.9,15.0,7,23,35,1
19,26,30,50,21.3,36.4,4,0,0,0
20,25,35,50,33.0,49.3,6,22,42,1
20,26,25,50,5.0,23.3,11,23,37,1
20,25,30,50,20.6,49.0,12,0,0,0
20,25,30,50,-8.8,53.1,12,22,40,1
19,26,30,50,18.1,2.3,4,22,40,1
23,26,30,50,23.9,46.9,2,0,0,0
19,26,30,40,30.9,40.4,8,22,35,1
20,26,25,50,17.5,55.0,11,23,37,1
24,27,30,50,24.4,36.9,1,0,0,0
20,26,25,45,38.9,42.1,7,23,35,1
20,26,30,45,17.4,51.7,10,23,37,1
24,27,30,50,25.2,41.2,1,0,0,0
20,26,25,45,29.6,63.1,7,23,35,1
19,26,30,50,17.0,50.5,4,22,40,1
20,26,30,45,22.3,33.4,10,0,0,0
19,26,30,40,30.1,43.1,8,22,35,1
20,26,30,45,16.4,26.5,10,23,37,1
20,26,25,45,24.9,26.6,7,0,0,0
19,26,30,40,46.4,45.1,8,22,35,1
20,25,35,50,16.2,15.6,6,22,42,1
20,25,30,50,21.4,40.7,12,0,0,1
20,26,25,50,4.2,52.6,11,23,37,1
24,27,30,50,19.4,48.7,1,25,40,1
18,27,40,50,25.9,43.6,5,0,0,0
19,26,30,50,31.8,77.2,4,22,40,1
19,26,30,40,28.9,7.3,8,22,35,1
20,26,25,45,21.7,36.5,7,0,0,1
20,26,30,45,7.1,39.9,10,23,37,1
20,25,30,50,5.8,58.3,12,22,40,1
20,26,30,50,21.9,38.2,3,0,0,0
20,26,25,45,24.8,57.2,7,23,35,1
20,25,30,50,17.4,27.4,12,22,40,1
20,26,25,50,22.3,35.5,11,0,0,1
19,26,30,40,41.5,45.8,8,22,35,1
23,26,30,50,18.8,28.2,2,24,40,1
20,26,30,45,25.7,39.7,10,0,0,0
20,26,30,45,11.7,31.5,10,23,37,1
20,25,30,50,15.9,47.2,12,22,40,1
19,26,30,40,22.8,37.0,8,0,0,0
20,26,25,50,12.8,59.5,11,23,37,1
24,27,30,50,27.5,27.8,1,25,40,1
20,26,25,40,20.2,26.6,9,0,0,0
24,27,30,50,-10.2,24.6,1,25,40,1
24,27,30,50,13.5,22.8,1,25,40,1
23,26,30,50,25.4,44.1,2,0,0,0
20,26,25,50,2.8,47.8,11,23,37,1
20,26,30,45,6.4,29.6,10,23,37,1
20,26,30,50,21.7,30.7,3,0,0,1
18,27,40,50,28.0,50.2,5,22,45,1
23,26,30,50,18.8,27.9,2,24,40,1
20,25,35,50,20.5,47.4,6,0,0,0
18,27,40,50,47.1,70.9,5,22,45,1
20,26,25,45,29.2,-4.0,7,23,35,1
24,27,30,50,25.3,45.1,1,0,0,0
20,26,25,50,-8.0,55.5,11,23,37,1
23,26,30,50,21.6,49.5,2,24,40,1
20,26,30,45,21.1,31.5,10,0,0,1
19,26,30,50,40.2,62.7,4,22,40,1
24,27,30,50,9.7,26.8,1,25,40,1
20,26,25,40,20.5,25.0,9,0,0,0
18,27,40,50,34.2,57.7,5,22,45,1
20,26,25,50,6.2,21.8,11,23,37,1
20,26,25,45,22.9,25.9,7,0,0,0
20,25,30,50,1.8,54.1,12,22,40,1
19,26,30,50,32.1,68.7,4,22,40,1
23,26,30,50,23.1,44.0,2,0,0,1
20,26,30,45,-10.5,57.1,10,23,37,1
19,26,30,40,32.7,2.6,8,22,35,1
20,26,25,40,25.8,39.2,9,0,0,0
24,27,30,50,5.6,50.0,1,25,40,1
20,25,35,50,30.1,33.9,6,22,42,1
20,26,30,50,21.3,43.3,3,0,0,1
24,27,30,50,10.4,52.5,1,25,40,1
19,26,30,40,16.4,51.6,8,22,35,1
18,27,40,50,25.5,47.1,5,0,0,0
19,26,30,50,31.3,69.2,4,22,40,1
20,26,30,45,12.7,50.1,10,23,37,1
20,26,30,50,22.6,42.3,3,0,0,0
24,27,30,50,-1.8,58.8,1,25,40,1
20,26,30,50,21.1,34.4,3,23,40,1
20,26,30,50,21.7,40.6,3,0,0,0
23,26,30,50,-1.8,56.2,2,24,40,1
20,26,25,45,31.2,46.0,7,23,35,1
24,27,30,50,24.0,49.7,1,0,0,0
20,26,25,50,12.3,54.3,11,23,37,1
24,27,30,50,17.1,50.8,1,25,40,1
20,26,25,45,20.9,44.7,7,0,0,0
20,26,25,40,14.4,49.5,9,23,32,1
20,25,30,50,13.0,57.4,12,22,40,1
20,26,25,50,25.6,39.9,11,0,0,0
20,26,25,50,-6.4,64.9,11,23,37,1
19,26,30,50,20.4,51.2,4,22,40,1
20,26,25,50,25.7,36.2,11,0,0,0
23,26,30,50,10.9,51.1,2,24,40,1
20,25,30,50,13.6,59.0,12,22,40,1
20,26,30,45,22.4,35.8,10,0,0,0
20,26,30,45,10.4,46.0,10,23,37,1
20,26,25,40,22.5,43.6,9,23,32,1
24,27,30,50,24.6,35.4,1,0,0,0
18,27,40,50,33.3,69.3,5,22,45,1
20,26,30,50,11.1,28.7,3,23,40,1
20,26,25,40,23.0,33.7,9,0,0,0
20,26,25,50,-2.4,54.2,11,23,37,1
20,26,25,50,7.1,20.8,11,23,37,1
19,26,30,50,22.9,38.5,4,0,0,0
19,26,30,40,43.4,42.8,8,22,35,1
19,26,30,50,32.3,57.7,4,22,40,1
20,26,30,45,25.8,31.9,10,0,0,1
19,26,30,50,40.9,55.2,4,22,40,1
23,26,30,50,27.5,26.4,2,24,40,1
20,26,25,50,23.2,43.9,11,0,0,1
18,27,40,50,32.7,55.2,5,22,45,1
23,26,30,50,26.0,20.5,2,24,40,1
20,25,30,50,22.2,45.9,12,0,0,0
20,26,30,50,14.2,55.8,3,23,40,1
20,26,30,45,10.9,20.6,10,23,37,1
